,原文（日本語）,変換後（ローマ字）,m,s,hb,w
34,['弟子に 腕を 支えられながら 最後まで 引き続けた'],deshi ni  ude wo  sasae rarenagara  saigo made  hikitsuzuke ta,1,4,1,1
35,['気管支ぜんそくや鼻炎も広まっている'],kikan shi zensokuya bien mo hiroma tteiru,2,2,2,0
36,['大ピラミッド 近くに 二つの部屋が 埋まっていたのである'],dai piramiddo  chikaku ni  futatsu no heya ga  uma tteitanodearu,2,0,2,0
37,['普通 中距離トラックのドライバーは 中年の人が多い'],futsuu  chuukyori torakku no doraibaa ha  chuunen no nin ga ooi,0,0,4,0
38,['自動車や 精密機械などで 技術系の採用を抑える ところが目立ち 売り手市場の 技術系にもかげりが見え始めた'],jidousha ya  seimitsukikai nadode  gijutsukei no saiyou wo osae ru  tokoroga medachi  urite shijou no  gijutsukei nimokageriga mie hajime ta,5,5,3,1
39,['ユーザーにも責任があるとの論理は 暴論と言わざるをえません'],yuuzaa nimo sekinin gaarutono ronri ha  bouron to iwa zaruwoemasen,2,2,2,2
40,['本書は 言葉の 政治人類学といってもよい'],honsho ha  kotoba no  seiji jinruigaku toittemoyoi,1,2,4,0
41,['節目に 合わせて 本会議場を半分に ちょん切るとするか'],fushime ni  awa sete  honkaigi ba wo hanbun ni  chon kiru tosuruka,1,3,5,2
42,['首相 自ら 国民 一人一人 百ドル 舶来品を 買うように すすめた'],shushou  mizukara  kokumin  hitorihitori  hyaku doru  hakuraihin wo  kau youni  susumeta,3,4,7,1
43,['十進法は両手の十本の指を数えることから起こった'],jusshinhou ha ryoute no juu hon no yubi wo kazoe rukotokara oko tta,0,2,4,1
44,['ワインと日本酒(にほんしゅ)とを問わず 原産地 成分表示を急ぐべき'],wain to nihonshu ( nihonshu) towo towa zu  gensanchi  seibunhyouji wo isogu beki,0,5,8,4
45,['年齢はまだ十四だが数えきれぬほど日本の舞台を踏んだので 日本語はぺらぺらだそうだ。'],nenrei hamada juuyon daga kazoe kirenuhodo nippon no butai wo fun danode  nihongo haperaperadasouda。,1,1,5,1
46,['日本の エスペラントとしてやはり 標準語は 必要だ'],nippon no  esuperanto toshiteyahari  hyoujungo ha  hitsuyou da,0,2,4,0
47,['翌年 父の 選挙を手伝って 遊説行脚の マネージャーを勤めた'],yokunen  chichi no  senkyo wo tetsudatsu te  yuuzei angya no  maneejaa wo tsutome ta,2,1,2,2
48,['何もかもがたちまち 腐り 指紋で よごれ ぐにゃぐにゃになってしまうようだ'],nanimo kamogatachimachi  kusari  shimon de  yogore  gunyagunyaninatteshimauyouda,5,3,2,0
49,['逆境に耐えたこのプロデューサーの作品にはヒューマニズムが脈々と息ずいている'],gyakkyou ni tae takono purodeyuusaa no sakuhin niha hyuumanizumu ga myakumyaku to iki zuiteiru,4,2,3,0
