,原文（日本語）,変換後（ローマ字）,m,s,hb,w
40,[' おれは コツコツと シングルを 狙うよと言うがもちろん本音ではなく 持ち前の パワーを 発揮し始めてきた。'], oreha  kotsukotsu to  shinguru wo  nerau yoto iu gamochiron honne dehanaku  mochimae no  pawaa wo  hakki shi hajime tekita。,4,2,7,3
41,['予想外の事態に 電力会社も ちょっぴり 困惑気味だ。'],yosougai no jitai ni  denryokugaisha mo  choppiri  konwaku kimi da。,2,2,2,1
42,['レーザー光線を レンズで 拡散させ 撮影したい 物体に当てその反射光を 半透明なフィルムで受ける。'],reezaa kousen wo  renzu de  kakusan sase  satsuei shitai  buttai ni ate sono hanshakou wo  hantoumei na firumu de ukeru。,2,8,4,2
43,['中年 以上は おふくろの味を 求め 若い 人は 袋の味を求める。'],chuunen  ijou ha  ofukurono ajiwo  motome  wakai  nin ha  fukuro no ajiwo motome ru。,4,0,3,3
44,['ガラス扉を 押して入ると一瞬 首や肘から 汗の 膜が剥ぎとられる。'],garasu tobira wo  oshi te iru to isshun  kubi ya hiji kara  ase no  maku ga hagi torareru。,1,5,5,1
45,['少年は 指を ズボンで ふくと素直に いそいそと 立ち上がった。'],shounen ha  yubi wo  zubon de  fukuto sunao ni  isoisoto  tachiaga tta。,0,4,5,1
46,['頭上には たえまなく ヘリコプターの 爆音が 聞こえる。'],zujou niha  taemanaku  herikoputaa no  bakuon ga  kiko eru。,1,0,3,0
47,['司祭が 踏み絵を するということはどんな 拷問よりも辛い。'],shisai ga  fumie wo  surutoiukotohadonna  goumon yorimo tsurai。,3,3,1,1
48,['八王子地方と 文化人とを 結びつけ 読みごたえのあるものを十年余りも続けた。'],hachiouji chihou to  bunkajin towo  musubi tsuke  yomi gotaenoarumonowo juunen amari mo tsuzuke ta。,5,1,6,2
49,['何げなく 空を 見上げていた青空に ポッカリと入道雲があちこちに浮かんで 見おろしていた。'],nani genaku  sora wo  miage teita aozora ni  pokkari to nyuudougumo gaachikochini uka nde  mio roshiteita。,3,2,2,1
