,原文（日本語）,変換後（ローマ字）,m,s,hb,w
29,['彼の 数学の 授業は 抜群に面白く試験前には月給外補習授業をする程 熱心である。'],kano  suugaku no  jugyou ha  batsugun ni omoshiroku shikenmae niha gekkyuu soto hoshuu jugyou wosuru hodo  nesshin dearu。,2,8,6,1
30,['そうでなくても 寿司屋の 職人は 減らず口を ききたがる人間が 多い'],soudenakutemo  sushiya no  shokunin ha  hera zu kuchi wo  kikitagaru ningen ga  ooi,1,4,4,1
31,['リードが大きければ牽制球を投げなければならない。'],riido ga ooki kereba kenseikyuu wo nage nakerebanaranai。,0,1,2,1
32,['アメリカが風邪をひけば日本もクシャミをするといわれる程で 日本経済も 不況です。'],amerika ga kaze wohikeba nippon mo kushami wosurutoiwareru hodo de  nihonkeizai mo  fukyou desu。,4,3,5,3
33,['ラッパも鳴らないし笛も鳴らないがぞろぞろと起き出し、洗面所へゆく。'],rappa mo nara naishi fue mo nara naigazorozoroto oki dashi、 senmenjo heyuku。,3,3,1,0
34,['主人に 甘え 社会に甘え自分に甘えてぬるま湯にどっぷり浸っている。'],shujin ni  amae  shakai ni amae jibun ni amae tenuruma yu nidoppuri hitatsu teiru。,4,2,4,0
35,['船は ひそかに 揺れつつ 錨を ひきずって流れつづけた'],fune ha  hisokani  yure tsutsu  ikari wo  hikizutte nagare tsuzuketa,0,1,3,1
36,['これまで 少年野球 ママさんバレーなど 地域スポーツを 支え 市民に密着してきたのは 無数の ボランティアだった。'],koremade  shounen yakyuu  mama san baree nado  chiiki supootsu wo  sasae  shimin ni mitchaku shitekitanoha  musuu no  boranteia datta。,6,8,6,1
37,['もちろん 調査後は元通り 密閉する。'],mochiron  chousa nochi ha motodoori  mippei suru。,3,2,4,0
38,['冷房では 冷え過ぎが問題になる。'],reibou deha  hie sugi ga mondai ninaru。,1,1,3,0
39,['いずれは ハワイや カリフォルニアなど 日本人が 多く 住む 暑い 土 地で 育ててみたい。 あなた'],izureha  hawai ya  kariforunia nado  nihonjin ga  ooku  sumu  atsui  tsuchi  chi de  sodate temitai。  anata,2,2,5,1
40,['最近の不調を 理由に ソウル五輪候補選手から 外すことを発表した。'],saikin no fuchou wo  riyuu ni  souru gorin kouho senshu kara  hazusu kotowo happyou shita。,0,6,5,2
41,['事故の 直接原因となった 圧力隔壁の ずさんな 修理 そのずさんさを見落としたチェック システムなどがそうだ。'],jiko no  chokusetsugen'in tonatta  atsuryoku kakuheki no  zusanna  shuuri  sonozusansawo miotoshi ta chekku  shisutemu nadogasouda。,2,10,4,1
42,['女性とは逆で何とか常識を破ってめだってやろうと意気込む人がほとんどだ。'],josei toha gyaku de nantoka joushiki wo yabutsu temedatteyarouto ikigomu nin gahotondoda。,2,2,3,1
43,['もっと広い 議場をという声もあったがチャーチル首相が抑えた。'],motto hiroi  gijou wotoiu koe moattaga chaachiru shushou ga osae ta。,2,3,5,1
44,['ギンザケの卵を輸入してふ化させ 海中で育てる 養殖も始まっている。'],ginzake no tamago wo yunyuu shitefu kasa se  kaichuu de sodate ru  youshoku mo hajima tteiru。,3,5,3,1
45,['文書は 年々 増えていく。'],bunsho ha  nennen  fue teiku。,0,1,3,0
46,['おしゃれとは 縁がなくジーパンに ティーシャツジャンパーといっ た格好で駅まで自転車を走らせる。'],osharetoha  heri ganaku jiipan ni  teiishatsujanpaa toitsu  ta kakkou de eki made jitensha wo hashira seru。,1,5,6,1
47,['熱で うるんだ青い空に 積乱雲がある。'],netsu de  urunda aoi sora ni  seki ran kumo gaaru。,1,2,0,0
48,['富者は 貧者と同じ 栄養状態に 落ち込み 貧者は 餓死まであと一歩 という状態へ 落ち込んでいく。'],tomi mono ha  hinja to onaji  eiyoujoutai ni  ochikomi  hinja ha  gashi madeato ippo  toiu joutai he  ochikon deiku。,4,1,7,0
49,['販売関係の企業の 代表者は セミナー 終了後 会議室に集まれ。'],hanbai kankei no kigyou no  daihyousha ha  seminaa  shuuryougo  kaigishitsu ni atsumare。,2,4,6,0
